Member,Party,State,Constituency
Dr. Wale Okediran,AD,Oyo,Iseyin / Itesiwaju / Kajola / Iwajowa
Babatunde Oduyoye,AD,Oyo,Ibadan North West / Ibadan South West
Jimoh Tijani,AD,Oyo,Shaki East / Shaki West / Atisbo
Akintola Oluokun George,PDP,Oyo,Akinyele / Lagelu
Sadiq Anwo Sanusi,PDP,Oyo,Ibarapa East / Ido
Taofeek Aradaja,PDP,Oyo,Ibadan North East / Ibadan South East
Adegoke Festus Adewale,PDP,Oyo,Egbeda / Ona Ara
Moroof Akinwande,PDP,Oyo,Afijio / Atiba / Oyo East
Sarum Tayo Akande,PDP,Oyo,Ibadan North
Oyedokun Oladepo,PDP,Oyo,Oluyole
John Adamu Longhor,PDP,Plateau,Mangu / Bokkos
Bello Yero,PDP,Plateau,Wase
Gyang Dalyop Dantong,ANPP,Plateau,Barkin Ladi / Riyom
Gabriel Bwan Fom,ANPP,Plateau,Jos South / Jos East
Musa Labar Wuyep,PDP,Plateau,Kanam / Kanke / Pankshin
Shehu Sale Hassan,ANPP,Plateau,Jos North / Bassa
Lar Rampual Victor,ANPP,Plateau,Langtang North / Langtang South
Damulak Muhammadu,PDP,Plateau,Mikang / Qua'an Pan / Shendam
Austin Okpara Adiele,PDP,Rivers,Port Harcourt II
Daemi Kunaiyi Akpanah,PDP,Rivers,Akuku-Toru / Asari-Toru
Osinaka Chukwu Ideozu,PDP,Rivers,Abua-Odual / Ahoada East
Aguma Nnamdirim,PDP,Rivers,Port Harcourt I
Wilson Asinobi Ake,PDP,Rivers,Ogba-Egbema-Ndoni / Ahoada West
George Sekibo,PDP,Rivers,Okirika / Ogu-Bolo
Ike Chinwo,PDP,Rivers,Obio-Akpor
Chief Andrew Uchendu,PDP,Rivers,Ikwerre / Emohua
George Ford Nwosu,PDP,Rivers,Etche / Omuma
Deeyah Emmanuel Nwiika,PDP,Rivers,Khana / Gokana
Jeffreys Moses Owor,PDP,Rivers,Andoni / Opobo-Nkoro
Tonye Long John,PDP,Rivers,Bonny / Degema
Olaka Johnson Nwogu,PDP,Rivers,Eleme / Tai / Oyigbo
Zakari Shinaka,ANPP,Sokoto,Goronyo / Gada
Mukhtar Dikko,ANPP,Sokoto,Binji / Silame
Musa Abubakar,ANPP,Sokoto,Tangaza / Gudu
Altine Shehu Kajiji,ANPP,Sokoto,Yabo / Shagari
Faruk Dange,ANPP,Sokoto,Bodinga / Dange Shuni / Tureta
Aminu Waziri Tambuwal,ANPP,Sokoto,Kebbe / Tambuwal
Kabiru Marafa Achida,ANPP,Sokoto,Wurno / Rabah
Usman Balkore,ANPP,Sokoto,Kware / Wamako
Mohammed Kabir Umar,ANPP,Sokoto,Sokoto North / Sokoto South
Sirajo Marafa Gatawa,ANPP,Sokoto,Isa / Sabon Birni
Nasiru Balarabe Asara,ANPP,Sokoto,Gwadabawa / Illela
Al-mashy Al-gaddas,PDP,Taraba,Jalingo / Yorro / Zing
Joel Ikenya Danlami,PDP,Taraba,Wukari / Ibi
Khanin Tauru Titus,PDP,Taraba,Karim Lamido / Lau / Ardo Kola
Dahiru Bako Gassol,PDP,Taraba,Bali / Gassol
Emmanuel Bwacha,PDP,Taraba,Takum / Donga / Ussa
Abdulahi Nguroje,PDP,Taraba,Gashaka / Kurmi / Sardauna
Haj. Fatima Talba,ANPP,Yobe,Nangere / Potiskum
Abubakar Idris,ANPP,Yobe,Fune / Fika
Almajir Geidam,ANPP,Yobe,Ngazargamu
Bello Shugaba,ANPP,Yobe,Karasuwa / Machina / Nguru / Yusufari
Ahmad Lawan,ANPP,Yobe,Bade / Jakusko
Zanna Laisu,ANPP,Yobe,Damaturu / Tarmuwa / Gujba / Gulani
Sani Mohammed Gusau,ANPP,Zamfara,Gusau / Tsafe
Bello Maradun,ANPP,Zamfara,Bakura / Maradun
Uzairu Suleiman Tahir,ANPP,Zamfara,Anka / Talata Mafara
Dahiru Zubairu,ANPP,Zamfara,Kaura Namoda / Bamagaji
Sani Ibrahim Doruwa,ANPP,Zamfara,Bungudu / Maru
Suleiman Adamu Gummi,ANPP,Zamfara,Gummi / Bukkuyum
Bello Moriki Abubakar,ANPP,Zamfara,Shinkafi / Zurmi
